Model,Split,F1_Macro,F1_Weighted,Accuracy,Precision,Recall
xgboost_simple,Validation,0.5809100622877181,0.5970444617893731,0.6107114308553158,0.6001920644388884,0.5822625204998668
xgboost_engineered,Validation,0.5796250761012905,0.5965595301128134,0.6107114308553158,0.5972845602089358,0.5817986014874776
ensemble_simple,Validation,0.573776458293783,0.5928403922237945,0.6139088729016786,0.6087389171650689,0.5787776971225642
ensemble_engineered,Validation,0.5729987140430632,0.5921853429200404,0.6131095123900879,0.6063280374584624,0.578158118436071
xgboost_simple,Test,0.5366516870112514,0.5417022789095934,0.5633333333333334,0.5590446254837813,0.5703958053933459
xgboost_engineered,Test,0.5237327188940092,0.5264178187403995,0.55,0.547155017921147,0.5615411942268804
ensemble_simple,Test,0.5558385696587252,0.5589839229212902,0.5866666666666667,0.596567851984318,0.5977573737042502
ensemble_engineered,Test,0.5497404335028097,0.5539054321648381,0.58,0.5958697556900381,0.5905224059429667
